ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,sig_7,sig_7_label,sig_8,sig_8_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
AMAT,"Applied Materials, Inc.",552.64,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Wide divergence above SMA,bull,8 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+25.1% 10-bar),neutral,Intraday only,session,557.62,452.91,bullish,517.62,R 38.2%,492.91,R 61.8%,557.62,E 100.0%,586.1,E 127.2%,622.33,E 161.8%,1.62,2.77,4.24,557.62,E 100.0%,532.91,557.62,532.91,517.62,505.26,492.91,475.32,557.62,586.1,597.62,622.33,662.33,727.04
APTV,Aptiv PLC,67.96,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Wide divergence above SMA,bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,78.49,64.64,bullish,73.2,R 38.2%,69.93,R 61.8%,78.49,E 100.0%,82.26,E 127.2%,87.05,E 161.8%,1.62,2.77,4.24,78.49,E 100.0%,67.6,69.93,75.22,73.2,71.56,69.93,67.6,78.49,82.26,83.78,87.05,92.34,100.9
ARE,"Alexandria Real Estate Equities, Inc.",52.77,,4,5,1,Strong bullish,251,Daily,bull,Bullish engulfing,neutral,In line with trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+7.6% 10-bar),neutral,Intraday only,session,55.14,47.88,bullish,52.37,R 38.2%,50.65,R 61.8%,55.14,E 100.0%,57.11,E 127.2%,59.63,E 161.8%,1.61,2.76,4.22,55.14,E 100.0%,52.37,53.43,53.43,52.37,51.51,50.65,49.43,55.14,57.11,57.91,59.63,62.4,66.89
ASML,ASML Holding N.V.,1899.48,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Significantly above trend,bull,Wide divergence above SMA,bull,11 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+20.5% 10-bar),neutral,Intraday only,session,1903.5,1638.38,bullish,1802.22,R 38.2%,1739.66,R 61.8%,1903.5,E 100.0%,1975.61,E 127.2%,2067.34,E 161.8%,1.62,2.77,4.24,1903.5,E 100.0%,1840.93,1903.5,1840.93,1802.22,1770.94,1739.66,1695.12,1903.5,1975.61,2004.78,2067.34,2168.62,2332.46
AVY,Avery Dennison Corporation,158.75,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bear,2 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Bounce off prior support,neutral,In line with market,neutral,Intraday only,session,160.39,152.42,bullish,157.35,R 38.2%,155.46,R 61.8%,160.39,E 100.0%,162.56,E 127.2%,165.32,E 161.8%,1.61,2.76,4.22,160.39,E 100.0%,158.51,160.39,158.51,157.35,156.4,155.46,154.13,160.39,162.56,163.43,165.32,168.36,173.29
BA,The Boeing Company,221.63,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bull,Above SMA (acting as support),neutral,"Short-term bounce, weak medium-term RS",neutral,Intraday only,session,224.69,207.95,bullish,218.3,R 38.2%,214.34,R 61.8%,224.69,E 100.0%,229.24,E 127.2%,235.04,E 161.8%,1.61,2.76,4.23,224.69,E 100.0%,220.74,224.69,220.74,218.3,216.32,214.34,211.53,224.69,229.24,231.08,235.04,241.43,251.78
BDX,"Becton, Dickinson and Company",147.35,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.2% 10-bar),neutral,Intraday only,session,152.55,142.13,bullish,148.57,R 38.2%,146.11,R 61.8%,152.55,E 100.0%,155.38,E 127.2%,158.99,E 161.8%,1.62,2.77,4.24,152.55,E 100.0%,147.34,148.57,150.09,148.57,147.34,146.11,144.36,152.55,155.38,156.53,158.99,162.97,169.41
BLDR,"Builders FirstSource, Inc.",78.57,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+4.6% 10-bar),neutral,Intraday only,session,78.75,71.5,bullish,75.98,R 38.2%,74.27,R 61.8%,78.75,E 100.0%,80.72,E 127.2%,83.23,E 161.8%,1.62,2.77,4.24,78.75,E 100.0%,77.04,78.75,77.04,75.98,75.12,74.27,73.05,78.75,80.72,81.52,83.23,86.0,90.48
CDNS,"Cadence Design Systems, Inc.",383.74,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,416.69,373.54,bullish,400.21,R 38.2%,390.02,R 61.8%,416.69,E 100.0%,428.43,E 127.2%,443.36,E 161.8%,1.62,2.77,4.23,416.69,E 100.0%,382.77,390.02,406.51,400.21,395.12,390.02,382.77,416.69,428.43,433.17,443.36,459.84,486.51
CINF,Cincinnati Financial Corporation,168.3,,4,6,2,Strong bullish,251,Daily,bull,Inverted hammer,bull,Significantly above trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bear,Rejection at prior resistance,bull,Outperforming SPY strongly (+7.4% 10-bar),neutral,Intraday only,session,170.43,156.18,bullish,164.99,R 38.2%,161.62,R 61.8%,170.43,E 100.0%,174.31,E 127.2%,179.24,E 161.8%,1.61,2.77,4.23,170.43,E 100.0%,167.07,170.43,167.07,164.99,163.3,161.62,159.23,170.43,174.31,175.87,179.24,184.68,193.49
CPAY,"Corpay, Inc.",350.85,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Breakout above prior resistance,neutral,In line with market,neutral,Intraday only,session,362.19,339.95,bullish,353.69,R 38.2%,348.45,R 61.8%,362.19,E 100.0%,368.24,E 127.2%,375.93,E 161.8%,1.62,2.78,4.24,362.19,E 100.0%,348.45,351.07,356.94,353.69,351.07,348.45,344.71,362.19,368.24,370.69,375.93,384.43,398.17
CRH,CRH plc,104.83,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bear,Bearish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,108.07,99.95,bullish,104.97,R 38.2%,103.05,R 61.8%,108.07,E 100.0%,110.28,E 127.2%,113.09,E 161.8%,1.61,2.77,4.23,108.07,E 100.0%,104.01,104.97,106.15,104.97,104.01,103.05,101.69,108.07,110.28,111.17,113.09,116.19,121.21
DE,Deere & Company,568.64,,4,5,1,Strong bullish,251,Daily,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Bounce off prior support,neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,604.51,552.65,bullish,584.7,R 38.2%,572.46,R 61.8%,604.51,E 100.0%,618.62,E 127.2%,636.56,E 161.8%,1.62,2.77,4.24,604.51,E 100.0%,563.75,572.46,592.27,584.7,578.58,572.46,563.75,604.51,618.62,624.32,636.56,656.37,688.42
DPZ,"Domino's Pizza, Inc.",312.26,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bear,1 open gap(s) above (resistance),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.8% 10-bar),neutral,Intraday only,session,319.66,300.25,bullish,312.25,R 38.2%,307.66,R 61.8%,319.66,E 100.0%,324.94,E 127.2%,331.66,E 161.8%,1.61,2.76,4.23,319.66,E 100.0%,312.25,315.08,315.08,312.25,309.96,307.66,304.4,319.66,324.94,327.07,331.66,339.07,351.07
EQIX,"Equinix, Inc.",1043.18,,4,5,1,Strong bullish,251,Daily,bull,Bullish harami,neutral,In line with trend,bear,Near 20-period SMA (below),bull,1 open gap(s) below (support),bull,Oversold,bull,Oversold (< -100),bull,Bounce off prior support,neutral,In line with market,neutral,Intraday only,session,1107.15,1032.08,bullish,1078.47,R 38.2%,1060.76,R 61.8%,1107.15,E 100.0%,1127.57,E 127.2%,1153.54,E 161.8%,1.62,2.77,4.24,1107.15,E 100.0%,,1048.14,1089.43,1078.47,1069.61,1060.76,1048.14,1107.15,1127.57,1135.83,1153.54,1182.22,1228.61
EXC,Exelon Corporation,45.51,,4,5,1,Strong bullish,251,Daily,bear,Shooting star,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+3.0% 10-bar),neutral,Intraday only,session,46.07,44.15,bullish,45.34,R 38.2%,44.88,R 61.8%,46.07,E 100.0%,46.59,E 127.2%,47.26,E 161.8%,1.59,2.72,4.17,46.07,E 100.0%,45.34,45.62,45.62,45.34,45.11,44.88,44.56,46.07,46.59,46.8,47.26,47.99,49.18
FER,Ferrovial SE,67.35,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,67.67,64.11,bullish,66.31,R 38.2%,65.47,R 61.8%,67.67,E 100.0%,68.64,E 127.2%,69.87,E 161.8%,1.62,2.77,4.24,67.67,E 100.0%,66.83,67.67,66.83,66.31,65.89,65.47,64.87,67.67,68.64,69.03,69.87,71.23,73.44
FRT,Federal Realty Investment Trust,124.72,,4,6,2,Strong bullish,251,Daily,bull,Inverted hammer,bull,Significantly above trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+5.3% 10-bar),neutral,Intraday only,session,125.95,118.78,bullish,123.21,R 38.2%,121.52,R 61.8%,125.95,E 100.0%,127.9,E 127.2%,130.38,E 161.8%,1.62,2.78,4.24,125.95,E 100.0%,124.26,125.95,124.26,123.21,122.36,121.52,120.31,125.95,127.9,128.69,130.38,133.12,137.55
GD,General Dynamics Corporation,358.86,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Significantly above trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+5.1% 10-bar),neutral,Intraday only,session,363.83,335.02,bullish,352.82,R 38.2%,346.03,R 61.8%,363.83,E 100.0%,371.67,E 127.2%,381.63,E 161.8%,1.62,2.78,4.24,363.83,E 100.0%,357.03,363.83,357.03,352.82,349.42,346.03,341.19,363.83,371.67,374.84,381.63,392.64,410.44
GEHC,GE HealthCare Technologies Inc.,64.51,,4,5,1,Strong bullish,251,Daily,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+4.9% 10-bar),neutral,Intraday only,session,66.41,60.73,bullish,64.24,R 38.2%,62.9,R 61.8%,66.41,E 100.0%,67.95,E 127.2%,69.92,E 161.8%,1.62,2.77,4.24,66.41,E 100.0%,64.24,65.07,65.07,64.24,63.57,62.9,61.95,66.41,67.95,68.58,69.92,72.09,75.6
HPE,Hewlett Packard Enterprise Company,46.8,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Wide divergence above SMA,bull,3 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,64.25,44.74,bullish,56.8,R 38.2%,52.19,R 61.8%,64.25,E 100.0%,69.56,E 127.2%,76.31,E 161.8%,1.62,2.77,4.23,64.25,E 100.0%,,48.92,59.65,56.8,54.5,52.19,48.92,64.25,69.56,71.7,76.31,83.76,95.82
IBM,International Business Machines Corporation,274.85,,4,5,1,Strong bullish,251,Daily,bull,Bullish engulfing,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,332.46,266.5,bullish,307.26,R 38.2%,291.7,R 61.8%,332.46,E 100.0%,350.4,E 127.2%,373.22,E 161.8%,1.62,2.77,4.24,332.46,E 100.0%,,280.62,316.89,307.26,299.48,291.7,280.62,332.46,350.4,357.66,373.22,398.42,439.18
LHX,"L3Harris Technologies, Inc.",312.17,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bear,2 open gap(s) above (resistance),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,315.71,299.39,bullish,309.48,R 38.2%,305.63,R 61.8%,315.71,E 100.0%,320.16,E 127.2%,325.8,E 161.8%,1.62,2.77,4.24,315.71,E 100.0%,311.86,315.71,311.86,309.48,307.55,305.63,302.88,315.71,320.16,321.95,325.8,332.04,342.13
LRCX,Lam Research Corporation,362.52,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Significantly above trend,bull,Wide divergence above SMA,bull,9 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+16.2% 10-bar),neutral,Intraday only,session,364.81,302.74,bullish,341.1,R 38.2%,326.45,R 61.8%,364.81,E 100.0%,381.69,E 127.2%,403.16,E 161.8%,1.62,2.77,4.24,364.81,E 100.0%,350.16,364.81,350.16,341.1,333.77,326.45,316.02,364.81,381.69,388.52,403.16,426.87,465.23
MPC,Marathon Petroleum Corporation,260.81,,4,5,1,Strong bullish,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,4 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,neutral,In line with market,neutral,Intraday only,session,272.46,256.53,bullish,266.37,R 38.2%,262.62,R 61.8%,272.46,E 100.0%,276.79,E 127.2%,282.3,E 161.8%,1.62,2.78,4.25,272.46,E 100.0%,259.94,262.62,268.7,266.37,264.49,262.62,259.94,272.46,276.79,278.55,282.3,288.39,298.23
NCLH,Norwegian Cruise Line Holdings Ltd.,19.06,,4,5,1,Strong bullish,251,Daily,bull,Bullish engulfing,neutral,In line with trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+6.5% 10-bar),neutral,Intraday only,multi-day swing (20b),19.56,14.53,bullish,17.64,R 38.2%,16.45,R 61.8%,19.56,E 100.0%,20.93,E 127.2%,22.67,E 161.8%,1.61,2.76,4.23,19.56,E 100.0%,18.37,19.56,18.37,17.64,17.04,16.45,15.61,19.56,20.93,21.48,22.67,24.59,27.7
RTX,RTX Corporation,184.21,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+5.2% 10-bar),neutral,Intraday only,session,184.4,172.55,bullish,179.87,R 38.2%,177.08,R 61.8%,184.4,E 100.0%,187.62,E 127.2%,191.72,E 161.8%,1.62,2.78,4.25,184.4,E 100.0%,181.6,184.4,181.6,179.87,178.47,177.08,175.09,184.4,187.62,188.93,191.72,196.25,203.57
SNDK,Sandisk Corporation,1881.51,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Wide divergence above SMA,bull,14 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+16.8% 10-bar),neutral,Intraday only,session,1895.0,1514.36,bullish,1749.6,R 38.2%,1659.76,R 61.8%,1895.0,E 100.0%,1998.53,E 127.2%,2130.24,E 161.8%,1.62,2.77,4.24,1895.0,E 100.0%,1805.17,1895.0,1805.17,1749.6,1704.68,1659.76,1595.82,1895.0,1998.53,2040.4,2130.24,2275.64,2510.88
STT,State Street Corporation,164.85,,4,6,2,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+6.8% 10-bar),neutral,Intraday only,session,165.44,155.69,bullish,161.72,R 38.2%,159.41,R 61.8%,165.44,E 100.0%,168.09,E 127.2%,171.47,E 161.8%,1.61,2.76,4.22,165.44,E 100.0%,163.14,165.44,163.14,161.72,160.57,159.41,157.78,165.44,168.09,169.16,171.47,175.19,181.22
TDG,TransDigm Group Incorporated,1257.59,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bear,2 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,1264.82,1201.86,bullish,1240.77,R 38.2%,1225.91,R 61.8%,1264.82,E 100.0%,1281.95,E 127.2%,1303.73,E 161.8%,1.62,2.77,4.24,1264.82,E 100.0%,1249.96,1264.82,1249.96,1240.77,1233.34,1225.91,1215.33,1264.82,1281.95,1288.87,1303.73,1327.78,1366.69
TECH,Bio-Techne Corporation,54.02,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+8.5% 10-bar),neutral,Intraday only,session,55.16,49.04,bullish,52.82,R 38.2%,51.38,R 61.8%,55.16,E 100.0%,56.82,E 127.2%,58.94,E 161.8%,1.62,2.78,4.25,55.16,E 100.0%,53.72,55.16,53.72,52.82,52.1,51.38,50.35,55.16,56.82,57.5,58.94,61.28,65.06
TRV,"The Travelers Companies, Inc.",303.9,,4,5,1,Strong bullish,251,Daily,bear,Bearish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+5.9% 10-bar),neutral,Intraday only,session,307.13,285.91,bullish,299.03,R 38.2%,294.02,R 61.8%,307.13,E 100.0%,312.9,E 127.2%,320.24,E 161.8%,1.62,2.77,4.23,307.13,E 100.0%,302.12,307.13,302.12,299.03,296.52,294.02,290.45,307.13,312.9,315.23,320.24,328.35,341.46
TT,Trane Technologies plc,460.14,,4,6,2,Strong bullish,251,Daily,bull,Bullish harami,bull,Above trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bear,Bearish zone,bull,Bounce off prior support,bull,Outperforming SPY strongly (+4.2% 10-bar),neutral,Intraday only,session,474.0,439.42,bullish,460.79,R 38.2%,452.63,R 61.8%,474.0,E 100.0%,483.41,E 127.2%,495.37,E 161.8%,1.62,2.77,4.24,474.0,E 100.0%,456.71,460.79,465.84,460.79,456.71,452.63,446.82,474.0,483.41,487.21,495.37,508.58,529.95
VLO,Valero Energy Corporation,255.6,,4,6,2,Strong bullish,251,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+6.6% 10-bar),neutral,Intraday only,session,265.61,246.47,bullish,258.3,R 38.2%,253.78,R 61.8%,265.61,E 100.0%,270.82,E 127.2%,277.44,E 161.8%,1.62,2.77,4.23,265.61,E 100.0%,253.78,256.04,261.09,258.3,256.04,253.78,250.57,265.61,270.82,272.92,277.44,284.75,296.58
ADI,"Analog Devices, Inc.",412.13,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bear,Bearish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,439.7,383.32,bullish,418.16,R 38.2%,404.86,R 61.8%,439.7,E 100.0%,455.04,E 127.2%,474.54,E 161.8%,1.62,2.77,4.24,439.7,E 100.0%,411.51,418.16,426.39,418.16,411.51,404.86,395.39,439.7,455.04,461.24,474.54,496.08,530.92
AME,"AMETEK, Inc.",226.21,,3,5,2,Moderately bullish,251,Daily,bull,Bullish harami,neutral,Significantly below trend,bear,Near 20-period SMA (below),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bear,Bearish zone,bull,Bounce off prior support,bull,Outperforming SPY moderately (+2.6% 10-bar),neutral,Intraday only,session,231.93,221.0,bullish,227.75,R 38.2%,225.18,R 61.8%,231.93,E 100.0%,234.9,E 127.2%,238.68,E 161.8%,1.63,2.78,4.25,231.93,E 100.0%,225.18,226.46,229.35,227.75,226.46,225.18,223.34,231.93,234.9,236.11,238.68,242.86,249.61
ANET,"Arista Networks, Inc.",156.4,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,177.48,145.32,bullish,165.19,R 38.2%,157.61,R 61.8%,177.48,E 100.0%,186.23,E 127.2%,197.35,E 161.8%,1.62,2.78,4.24,177.48,E 100.0%,152.2,157.61,169.89,165.19,161.4,157.61,152.2,177.48,186.23,189.77,197.35,209.64,229.51
APH,Amphenol Corporation,152.46,,3,5,2,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bear,Rejection at prior resistance,bull,Outperforming SPY strongly (+5.5% 10-bar),neutral,Intraday only,session,159.8,138.2,bullish,151.55,R 38.2%,146.45,R 61.8%,159.8,E 100.0%,165.68,E 127.2%,173.15,E 161.8%,1.62,2.77,4.24,159.8,E 100.0%,151.55,154.7,154.7,151.55,149.0,146.45,142.82,159.8,165.68,168.05,173.15,181.4,194.75
APO,"Apollo Global Management, Inc.",133.91,,3,5,2,Moderately bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bear,Rejection at prior resistance,bull,Outperforming SPY strongly (+7.3% 10-bar),neutral,Intraday only,session,135.34,122.44,bullish,130.41,R 38.2%,127.37,R 61.8%,135.34,E 100.0%,138.85,E 127.2%,143.31,E 161.8%,1.62,2.78,4.24,135.34,E 100.0%,132.3,135.34,132.3,130.41,128.89,127.37,125.2,135.34,138.85,140.27,143.31,148.24,156.21
AXON,"Axon Enterprise, Inc.",446.2,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Breakout above prior resistance,neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,515.8,423.04,bullish,480.36,R 38.2%,458.47,R 61.8%,515.8,E 100.0%,541.03,E 127.2%,573.13,E 161.8%,1.62,2.77,4.24,515.8,E 100.0%,442.89,458.47,493.91,480.36,469.42,458.47,442.89,515.8,541.03,551.24,573.13,608.56,665.89
BAC,Bank of America Corporation,55.16,,3,5,2,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,1 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+11.4% 10-bar),neutral,Intraday only,session,55.3,50.96,bullish,53.64,R 38.2%,52.61,R 61.8%,55.3,E 100.0%,56.48,E 127.2%,57.99,E 161.8%,1.61,2.76,4.22,55.3,E 100.0%,54.27,55.3,54.27,53.64,53.13,52.61,51.89,55.3,56.48,56.96,57.99,59.64,62.33
BBY,"Best Buy Co., Inc.",77.1,,3,5,2,Moderately bullish,251,Daily,bear,Stale green (3-bar exhaustion),neutral,Significantly below trend,bull,Wide divergence above SMA,bull,1 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+5.4% 10-bar),neutral,Intraday only,session,77.45,69.71,bullish,74.49,R 38.2%,72.67,R 61.8%,77.45,E 100.0%,79.56,E 127.2%,82.23,E 161.8%,1.63,2.79,4.25,77.45,E 100.0%,75.62,77.45,75.62,74.49,73.58,72.67,71.37,77.45,79.56,80.41,82.23,85.19,89.97
BIIB,Biogen Inc.,199.96,,3,5,2,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+4.0% 10-bar),neutral,Intraday only,session,201.94,184.9,bullish,195.43,R 38.2%,191.41,R 61.8%,201.94,E 100.0%,206.57,E 127.2%,212.47,E 161.8%,1.62,2.77,4.24,201.94,E 100.0%,197.92,201.94,197.92,195.43,193.42,191.41,188.55,201.94,206.57,208.45,212.47,218.98,229.51
BRK-B,Berkshire Hathaway Inc.,485.79,,3,5,2,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bear,2 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bear,Rejection at prior resistance,bull,Outperforming SPY strongly (+4.0% 10-bar),neutral,Intraday only,session,491.0,468.21,bullish,482.29,R 38.2%,476.92,R 61.8%,491.0,E 100.0%,497.2,E 127.2%,505.08,E 161.8%,1.62,2.78,4.24,491.0,E 100.0%,485.62,491.0,485.62,482.29,479.6,476.92,473.09,491.0,497.2,499.71,505.08,513.79,527.87
